zcta5ce20,county_name,cbsa_name
36003,Autauga,"Montgomery, AL"
36008,Autauga,"Montgomery, AL"
36703,Autauga,"Montgomery, AL"
36067,Autauga,"Montgomery, AL"
36749,Autauga,"Montgomery, AL"
36006,Autauga,"Montgomery, AL"
36066,Autauga,"Montgomery, AL"
36022,Autauga,"Montgomery, AL"
36758,Autauga,"Montgomery, AL"
36091,Autauga,"Montgomery, AL"
36051,Autauga,"Montgomery, AL"
94704,Alameda,"San Francisco-Oakland-Fremont, CA"
94502,Alameda,"San Francisco-Oakland-Fremont, CA"
94580,Alameda,"San Francisco-Oakland-Fremont, CA"
94552,Alameda,"San Francisco-Oakland-Fremont, CA"
94501,Alameda,"San Francisco-Oakland-Fremont, CA"
94577,Alameda,"San Francisco-Oakland-Fremont, CA"
94550,Alameda,"San Francisco-Oakland-Fremont, CA"
94707,Alameda,"San Francisco-Oakland-Fremont, CA"
94545,Alameda,"San Francisco-Oakland-Fremont, CA"
94587,Alameda,"San Francisco-Oakland-Fremont, CA"
94542,Alameda,"San Francisco-Oakland-Fremont, CA"
94566,Alameda,"San Francisco-Oakland-Fremont, CA"
94702,Alameda,"San Francisco-Oakland-Fremont, CA"
94586,Alameda,"San Francisco-Oakland-Fremont, CA"
94536,Alameda,"San Francisco-Oakland-Fremont, CA"
94720,Alameda,"San Francisco-Oakland-Fremont, CA"
94538,Alameda,"San Francisco-Oakland-Fremont, CA"
94555,Alameda,"San Francisco-Oakland-Fremont, CA"
94568,Alameda,"San Francisco-Oakland-Fremont, CA"
94579,Alameda,"San Francisco-Oakland-Fremont, CA"
94706,Alameda,"San Francisco-Oakland-Fremont, CA"
94560,Alameda,"San Francisco-Oakland-Fremont, CA"
94609,Alameda,"San Francisco-Oakland-Fremont, CA"
94505,Alameda,"San Francisco-Oakland-Fremont, CA"
94710,Alameda,"San Francisco-Oakland-Fremont, CA"
94578,Alameda,"San Francisco-Oakland-Fremont, CA"
94705,Alameda,"San Francisco-Oakland-Fremont, CA"
94612,Alameda,"San Francisco-Oakland-Fremont, CA"
94621,Alameda,"San Francisco-Oakland-Fremont, CA"
94605,Alameda,"San Francisco-Oakland-Fremont, CA"
95377,Alameda,"San Francisco-Oakland-Fremont, CA"
94608,Alameda,"San Francisco-Oakland-Fremont, CA"
94603,Alameda,"San Francisco-Oakland-Fremont, CA"
94709,Alameda,"San Francisco-Oakland-Fremont, CA"
94514,Alameda,"San Francisco-Oakland-Fremont, CA"
94703,Alameda,"San Francisco-Oakland-Fremont, CA"
94610,Alameda,"San Francisco-Oakland-Fremont, CA"
94546,Alameda,"San Francisco-Oakland-Fremont, CA"
94544,Alameda,"San Francisco-Oakland-Fremont, CA"
94619,Alameda,"San Francisco-Oakland-Fremont, CA"
94601,Alameda,"San Francisco-Oakland-Fremont, CA"
95391,Alameda,"San Francisco-Oakland-Fremont, CA"
94602,Alameda,"San Francisco-Oakland-Fremont, CA"
94607,Alameda,"San Francisco-Oakland-Fremont, CA"
94541,Alameda,"San Francisco-Oakland-Fremont, CA"
94708,Alameda,"San Francisco-Oakland-Fremont, CA"
94539,Alameda,"San Francisco-Oakland-Fremont, CA"
94606,Alameda,"San Francisco-Oakland-Fremont, CA"
94551,Alameda,"San Francisco-Oakland-Fremont, CA"
94588,Alameda,"San Francisco-Oakland-Fremont, CA"
94618,Alameda,"San Francisco-Oakland-Fremont, CA"
94613,Alameda,"San Francisco-Oakland-Fremont, CA"
94611,Alameda,"San Francisco-Oakland-Fremont, CA"
80002,Adams,"Denver-Aurora-Centennial, CO"
80602,Adams,"Denver-Aurora-Centennial, CO"
80233,Adams,"Denver-Aurora-Centennial, CO"
80103,Adams,"Denver-Aurora-Centennial, CO"
80229,Adams,"Denver-Aurora-Centennial, CO"
80011,Adams,"Denver-Aurora-Centennial, CO"
80003,Adams,"Denver-Aurora-Centennial, CO"
80642,Adams,"Denver-Aurora-Centennial, CO"
80260,Adams,"Denver-Aurora-Centennial, CO"
80212,Adams,"Denver-Aurora-Centennial, CO"
80234,Adams,"Denver-Aurora-Centennial, CO"
80020,Adams,"Denver-Aurora-Centennial, CO"
80239,Adams,"Denver-Aurora-Centennial, CO"
80241,Adams,"Denver-Aurora-Centennial, CO"
80022,Adams,"Denver-Aurora-Centennial, CO"
80701,Adams,"Denver-Aurora-Centennial, CO"
80019,Adams,"Denver-Aurora-Centennial, CO"
80220,Adams,"Denver-Aurora-Centennial, CO"
80024,Adams,"Denver-Aurora-Centennial, CO"
80045,Adams,"Denver-Aurora-Centennial, CO"
80023,Adams,"Denver-Aurora-Centennial, CO"
80105,Adams,"Denver-Aurora-Centennial, CO"
80221,Adams,"Denver-Aurora-Centennial, CO"
80102,Adams,"Denver-Aurora-Centennial, CO"
80137,Adams,"Denver-Aurora-Centennial, CO"
80216,Adams,"Denver-Aurora-Centennial, CO"
80654,Adams,"Denver-Aurora-Centennial, CO"
80010,Adams,"Denver-Aurora-Centennial, CO"
80031,Adams,"Denver-Aurora-Centennial, CO"
80136,Adams,"Denver-Aurora-Centennial, CO"
80640,Adams,"Denver-Aurora-Centennial, CO"
80643,Adams,"Denver-Aurora-Centennial, CO"
80601,Adams,"Denver-Aurora-Centennial, CO"
80030,Adams,"Denver-Aurora-Centennial, CO"
80603,Adams,"Denver-Aurora-Centennial, CO"
19938,Kent,"Dover, DE"
19979,Kent,"Dover, DE"
19950,Kent,"Dover, DE"
19955,Kent,"Dover, DE"
19934,Kent,"Dover, DE"
19953,Kent,"Dover, DE"
19964,Kent,"Dover, DE"
19936,Kent,"Dover, DE"
19902,Kent,"Dover, DE"
19977,Kent,"Dover, DE"
19943,Kent,"Dover, DE"
19963,Kent,"Dover, DE"
19954,Kent,"Dover, DE"
19980,Kent,"Dover, DE"
19962,Kent,"Dover, DE"
19904,Kent,"Dover, DE"
19901,Kent,"Dover, DE"
19952,Kent,"Dover, DE"
19946,Kent,"Dover, DE"
20566,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20020,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20245,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20530,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20319,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20415,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20057,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20260,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20045,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20204,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20007,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20016,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20001,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20317,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20052,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20006,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20024,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20418,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20017,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20520,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20003,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20002,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20373,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20012,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20591,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20010,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20515,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20036,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20059,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20542,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20422,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20565,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20535,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20551,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20510,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20230,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20037,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20032,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20005,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20008,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20427,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20064,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20390,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20431,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20388,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20250,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20560,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20011,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
20220,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
