hcpcs_cd,year,description,status_code,is_active,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,non_facility_total_rvu,facility_total_rvu,global_period,pc_tc_indicator,conversion_factor,non_facility_national_payment,facility_national_payment,source_table,derived_at
D5987,2023,Commissure splint,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D5988,2023,Surgical splint,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D6794,2023,Crown titanium,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
A4890,2023,Repair/maint cont hemo equip,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0120,2023,Periodic oral evaluation,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0140,2023,Limit oral eval problm focus,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0145,2023,"Oral evaluation, pt < 3yrs",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0150,2023,Comprehensve oral evaluation,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0160,2023,Extensv oral eval prob focus,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0170,2023,"Re-eval,est pt,problem focus",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0171,2023,Re-eval post-op visit,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0180,2023,Comp periodontal evaluation,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0190,2023,Screening of a patient,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0191,2023,Assessment of a patient,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0210,2023,Intraor comprehensive series,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0220,2023,Intraoral periapical first,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0230,2023,Intraoral periapical ea add,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0240,2023,Intraoral occlusal film,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0250,2023,Extraoral 2d project image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0251,2023,Extraoral posterior image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0270,2023,Dental bitewing single image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0272,2023,Dental bitewings two images,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0273,2023,Bitewings - three images,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0274,2023,Bitewings four images,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0277,2023,Vert bitewings 7 to 8 images,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0310,2023,Dental saliography,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0320,2023,Dental tmj arthrogram incl i,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0321,2023,Other tmj images by report,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0322,2023,Dental tomographic survey,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0330,2023,Panoramic image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0340,2023,2d cephalometric image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0350,2023,Oral/facial photo images,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0364,2023,Cone beam ct capt & interp,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
